rule key,start line,end line,severity,message,type
java:S1192,87,87,CRITICAL,Define a constant instead of duplicating this literal "class Foo {
" 9 times.,CODE_SMELL
java:S1192,115,115,CRITICAL,Define a constant instead of duplicating this literal "  }
" 8 times.,CODE_SMELL
java:S1192,39,39,CRITICAL,Define a constant instead of duplicating this literal "test/Bar" 5 times.,CODE_SMELL
java:S1192,110,110,CRITICAL,Define a constant instead of duplicating this literal "  def void xxx() {
" 4 times.,CODE_SMELL
java:S1192,117,117,CRITICAL,Define a constant instead of duplicating this literal "test/Foo" 8 times.,CODE_SMELL
java:S1192,194,194,CRITICAL,Define a constant instead of duplicating this literal "  def xxx() {
" 4 times.,CODE_SMELL
java:S1488,277,277,MINOR,Immediately return this expression instead of assigning it to the temporary variable "document".,CODE_SMELL
